Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
6797;г. Алапаевск, пер. Малиновый, д. 4 стр. 8/5, 824985;земельный участок;55;5152602;1;новостройка;+7 518 697 75 19;сдается;16.10.2020
6798;к. Ржев, наб. Промышленная, д. 4/6 стр. 19, 750683;земельный участок;51;17539162;2;новостройка;75 393 658 404;зарезервирован;11.12.2021
6799;п. Чебоксары, пер. Щетинкина, д. 31 стр. 335, 981960;земельный участок;119;19995226;1;требует ремонта;+7 (833) 247-11-17;зарезервирован;12.02.2021
6800;г. Льгов, пр. Клары Цеткин, д. 7/3 стр. 1/4, 379130;земельный участок;140;7049975;4;требует ремонта;+7 (767) 884-1842;сдается;16.03.2021
6801;клх Гремячинск (Перм.), пер. Смоленский, д. 3/6 стр. 9, 292557;квартира;133;18754797;1;новостройка;89 884 458 202;сдается;11.05.2022
6802;г. Вытегра, ш. Пархоменко, д. 639, 577888;дом;94;6945986;4;жилое;8 264 425 76 93;сдается;10.09.2020
6803;клх Данков, ш. Ленинское, д. 725 к. 59, 101109;квартира;111;16795312;2;требует ремонта;+7 (543) 967-68-15;зарезервирован;05.01.2021
6804;с. Ульяновск, ул. Докучаева, д. 6, 539016;земельный участок;103;9731823;4;жилое;80 878 463 487;продается;16.03.2023
6805;ст. Москва, пр. Чкалова, д. 367 стр. 442, 285057;дом;199;4925537;5;новостройка;8 (010) 607-6257;продается;05.11.2020
6806;п. Фатеж, ул. Максима Горького, д. 3 стр. 151, 408186;квартира;40;17897410;5;требует ремонта;8 (363) 744-3857;сдается;23.09.2020
6807;г. Ясный (Оренб.), ул. Станиславского, д. 8 к. 9/2, 629772;земельный участок;65;11510921;4;требует ремонта;8 (492) 636-05-46;зарезервирован;03.09.2022
6808;с. Салават, ул. Куйбышева, д. 724, 952345;дом;179;4244173;4;требует ремонта;88870354118;зарезервирован;14.09.2022
6809;п. Лотошино, ул. Ростовская, д. 33 к. 3, 224224;квартира;58;12676050;1;новостройка;+7 448 271 30 68;продается;15.06.2022
6810;клх Оленек, ул. Луначарского, д. 2 к. 9, 785355;земельный участок;77;18108996;4;требует ремонта;76752968409;зарезервирован;27.09.2020
6811;д. Заводоуковск, ш. Ангарское, д. 74, 089132;дом;197;5335977;1;жилое;81103645903;зарезервирован;12.03.2022
6812;п. Нефтекамск, бул. Красноярский, д. 38 к. 93, 777256;дом;53;2681331;1;новостройка;71 704 674 484;продается;16.01.2021
6813;клх Ребриха, наб. Войкова, д. 2/9 стр. 20, 903088;квартира;32;14928944;2;жилое;+7 (052) 735-9128;сдается;22.08.2022
6814;г. Зарайск, бул. Карла Либкнехта, д. 19 к. 6/5, 985695;дом;70;11944324;5;жилое;8 (067) 677-43-94;продается;12.02.2022
6815;п. Гагарин, пер. Репина, д. 9/3, 856966;земельный участок;68;2887045;2;жилое;8 (059) 201-25-66;зарезервирован;10.03.2023
6816;ст. Асбест, пер. Ударный, д. 495 стр. 887, 069395;дом;86;13422201;3;жилое;74 696 916 551;зарезервирован;19.06.2023
6817;п. Шелехов, ул. Алтайская, д. 1/2, 399513;дом;176;3341426;4;требует ремонта;+7 (716) 722-30-00;зарезервирован;09.03.2023
6818;г. Тура, наб. Ивановская, д. 3/5 к. 467, 472774;дом;22;10841220;2;жилое;73199806461;зарезервирован;11.04.2021
6819;с. Красноуфимск, ш. Заречное, д. 2 к. 5/6, 005337;квартира;124;13249257;1;жилое;79 063 199 482;сдается;19.09.2020
6820;клх Белогорск (Амур.), ул. Боровая, д. 9/7, 724657;квартира;88;19155646;3;новостройка;8 (108) 826-7108;зарезервирован;17.04.2021
6821;д. Санкт-Петербург, наб. Механизаторов, д. 9 к. 586, 733894;квартира;36;19223839;2;требует ремонта;8 (717) 200-01-01;зарезервирован;08.07.2022
6822;г. Видное, пр. Союзный, д. 815 стр. 937, 128698;квартира;195;1097297;4;требует ремонта;8 (295) 583-2968;продается;11.07.2021
6823;клх Бронницы, ш. Тепличное, д. 9/2, 377789;земельный участок;67;17377639;4;новостройка;8 (120) 986-98-61;продается;13.06.2022
6824;ст. Верхотурье, наб. Революционная, д. 998 к. 36, 463317;земельный участок;184;16649161;3;новостройка;8 830 248 89 05;зарезервирован;20.09.2020
6825;п. Ишим, бул. Бабушкина, д. 37 к. 921, 431785;дом;53;8537051;1;новостройка;8 189 611 88 03;продается;10.02.2021
6826;с. Каспийск, бул. Шоссейный, д. 2/2 к. 2, 072183;квартира;68;13699306;1;требует ремонта;82830878409;зарезервирован;09.03.2021
6827;п. Казань, пер. Победы, д. 9/2, 514331;земельный участок;179;9330580;3;требует ремонта;+7 (419) 398-6730;продается;29.10.2020
6828;клх Рославль, ул. Омская, д. 42 стр. 980, 136487;квартира;190;15991473;4;требует ремонта;+7 (591) 357-4041;сдается;15.04.2022
6829;с. Устюжна, пр. Заречный, д. 73, 298967;дом;76;6345426;4;требует ремонта;8 874 250 39 75;сдается;30.06.2022
6830;с. Благовещенск (Амур.), пер. Сиреневый, д. 685 к. 96, 744639;квартира;120;5539143;4;новостройка;76 071 747 541;зарезервирован;20.04.2023
6831;с. Новороссийка, алл. М.Горького, д. 1/6, 233227;квартира;105;16280038;5;требует ремонта;77 741 040 385;сдается;20.04.2022
6832;с. Махачкала, наб. Волочаевская, д. 4 стр. 2/1, 142855;квартира;112;14379315;4;жилое;8 (021) 901-5906;продается;09.12.2020
6833;п. Сочи, наб. Трактовая, д. 925 к. 6, 745176;дом;174;6546531;1;жилое;87 802 135 583;сдается;24.06.2022
6834;г. Зеленогорск (Ленин.), бул. Логовой, д. 3, 952738;дом;90;19816267;5;жилое;+7 081 944 53 88;зарезервирован;03.01.2023
6835;к. Славянск-на-Кубани, ул. Фурманова, д. 43, 729498;квартира;133;19528330;3;требует ремонта;+7 238 788 18 17;продается;13.03.2021
6836;г. Краснокамск, пер. Лесозаводский, д. 15, 605451;дом;129;4751699;1;жилое;71 063 939 857;сдается;10.05.2021
6837;ст. Калевала, пр. Гоголя, д. 81 к. 8, 172955;земельный участок;81;1261872;3;требует ремонта;84030738807;зарезервирован;04.01.2022
6838;с. Завьялиха, алл. Красина, д. 8/4 к. 70, 717196;земельный участок;70;7467828;4;новостройка;8 871 376 03 23;продается;02.01.2021
6839;ст. Териберка, пер. Сиреневый, д. 19 стр. 42, 951757;квартира;137;1334384;2;новостройка;8 (865) 322-54-75;зарезервирован;12.03.2021
6840;к. Мезень, наб. Российская, д. 4, 443675;квартира;21;14714904;5;требует ремонта;87637859762;сдается;05.08.2022
6841;д. Дубна, алл. Достоевского, д. 1/6 к. 5, 560833;дом;134;15617489;1;требует ремонта;71702237073;зарезервирован;28.08.2021
6842;ст. Рубцовск, пер. Механический, д. 534 стр. 55, 914943;квартира;84;12568107;4;жилое;89 988 666 428;зарезервирован;27.04.2021
6843;с. Мирный, ш. Карла Либкнехта, д. 7 к. 222, 667463;квартира;140;12823388;2;новостройка;8 216 138 29 33;сдается;27.08.2020
6844;к. Тикси, наб. Воровского, д. 2 к. 75, 567559;земельный участок;110;7495853;4;новостройка;+7 (125) 026-9244;продается;05.12.2021
6845;д. Тутончаны, пр. Аэродромный, д. 19, 442448;земельный участок;95;7799868;3;новостройка;73 070 748 326;сдается;17.03.2023
6846;п. Ухта, ш. Тракторное, д. 833, 853250;квартира;48;15501529;1;новостройка;+7 (308) 477-2500;продается;10.05.2023
6847;с. Нальчик, алл. Азовская, д. 6/1, 166551;земельный участок;190;4393053;5;требует ремонта;81000887704;сдается;26.01.2022
6848;г. Липецк, наб. Ломоносова, д. 439, 341377;дом;51;13831520;2;жилое;73 125 977 086;зарезервирован;17.09.2020
6849;п. Бомнак, ш. 40 лет Победы, д. 3 стр. 75, 466231;дом;75;11949974;2;новостройка;8 (193) 018-1175;сдается;16.05.2023
6850;д. Юрьев-Польский, наб. Кедровая, д. 6, 343859;земельный участок;88;14902565;4;требует ремонта;8 (003) 150-31-23;сдается;10.07.2022
6851;клх Джейрах, пер. Мира, д. 10 к. 5/7, 521568;дом;99;13045386;1;требует ремонта;72285885134;продается;29.04.2022
6852;д. Домодедово, наб. Гражданская, д. 1 стр. 5/9, 351014;дом;26;3448505;3;жилое;8 887 465 12 30;зарезервирован;10.02.2023
6853;к. Усть-Ордынский, ул. Спартака, д. 288, 976993;квартира;26;3617303;4;жилое;8 641 226 38 65;сдается;26.12.2021
6854;клх Торжок, алл. Надежды, д. 607 стр. 5, 345191;дом;29;1622810;2;жилое;8 (027) 850-25-25;зарезервирован;15.10.2020
6855;ст. Рыльск, наб. Крылова, д. 64 стр. 85, 500092;квартира;106;3201832;5;жилое;79 817 748 477;сдается;16.09.2020
6856;ст. Псков, бул. Промышленный, д. 4/8 стр. 28, 714705;дом;145;19678105;1;новостройка;75147283075;зарезервирован;02.02.2023
6857;п. Черский, пр. Станционный, д. 732 к. 431, 845909;квартира;82;1212114;5;новостройка;84 786 959 541;продается;27.04.2023
6858;г. Внуково (метеост.), ул. 50 лет ВЛКСМ, д. 89 к. 353, 347240;дом;113;9168536;1;требует ремонта;8 540 961 61 67;сдается;21.10.2022
6859;с. Нефтеюганск, наб. Минина, д. 14 к. 551, 972036;дом;31;19235913;5;требует ремонта;+7 624 311 75 70;зарезервирован;17.12.2022
6860;п. Чермоз, бул. Ленский, д. 6 стр. 9/1, 972634;квартира;118;10110497;5;требует ремонта;+7 (139) 572-11-69;зарезервирован;07.05.2022
6861;г. Тула, пр. Вольный, д. 9/8 стр. 1, 934430;квартира;29;12834551;3;жилое;80 769 720 453;зарезервирован;12.06.2021
6862;ст. Благовещенск (Амур.), наб. Веселая, д. 185, 266841;дом;124;11560486;2;жилое;+7 (283) 106-69-21;продается;24.02.2022
6863;г. Любань, пер. Комсомольский, д. 28 к. 8, 875577;квартира;122;12848304;4;требует ремонта;8 (685) 944-19-90;продается;07.07.2022
6864;г. Кудымкар, ш. Фестивальное, д. 2 к. 57, 330227;квартира;103;2474031;4;жилое;8 (126) 573-6177;сдается;29.07.2021
6865;ст. Таштагол, ул. Новгородская, д. 7/5, 789491;земельный участок;175;5149525;2;требует ремонта;8 861 614 56 42;продается;21.05.2023
6866;п. Мценск, пер. Средний, д. 9/2, 439300;дом;143;5073967;4;жилое;+7 (768) 014-65-15;продается;16.05.2022
6867;ст. Обоянь, алл. Новгородская, д. 6/8 к. 659, 569100;квартира;133;2117022;1;новостройка;+7 735 383 04 93;зарезервирован;27.02.2021
6868;ст. Талдом, пер. Авиационный, д. 6 стр. 6, 667908;дом;35;8224944;2;новостройка;8 (547) 242-96-52;продается;08.09.2020
6869;д. Владимир, наб. Макаренко, д. 8/5, 154469;квартира;125;16676566;1;жилое;+7 (118) 183-8159;продается;06.07.2021
6870;п. Волхов, пер. Путейский, д. 3, 436401;квартира;137;6453566;5;жилое;8 (031) 690-97-57;сдается;17.07.2023
6871;ст. Зарайск, бул. Кооперативный, д. 83 к. 393, 159153;земельный участок;36;8139440;2;новостройка;87169259750;продается;20.04.2023
6872;п. Барнаул, пер. Котовского, д. 9/3 стр. 5/9, 506409;земельный участок;172;5885587;3;требует ремонта;8 (153) 804-84-78;зарезервирован;04.12.2021
6873;клх Губаха, пр. Камский, д. 8/3, 250830;дом;84;16197559;2;требует ремонта;83 605 598 336;зарезервирован;14.03.2022
6874;с. Нязепетровск, ш. Фестивальное, д. 18 к. 6/9, 693597;квартира;181;17211149;4;новостройка;84 918 137 810;продается;17.08.2021
6875;к. Бийск, пр. Подстанция, д. 980 к. 58, 571816;земельный участок;77;2854179;1;жилое;8 (923) 452-30-76;зарезервирован;30.04.2023
6876;д. Калязин, ш. Казачье, д. 846 стр. 88, 637723;квартира;137;17493782;5;требует ремонта;89793932392;сдается;12.10.2021
6877;д. Поронайск, ш. Иркутское, д. 5 к. 76, 734326;квартира;171;6943678;4;жилое;+7 995 680 05 54;зарезервирован;04.04.2022
6878;д. Верхотурье, наб. Западная, д. 5/8 стр. 2/5, 032949;дом;197;2370982;1;требует ремонта;8 (244) 420-1243;сдается;01.05.2022
6879;г. Ивдель, бул. М.Горького, д. 4/4, 544263;земельный участок;74;17270508;1;новостройка;+7 (967) 506-08-58;зарезервирован;19.05.2021
6880;к. Уренгой, ш. Спортивное, д. 67 к. 1, 474663;земельный участок;64;9474212;4;новостройка;85 066 073 640;сдается;26.12.2021
6881;клх Нерчинск, бул. Каштановый, д. 3 стр. 3, 005795;квартира;157;13794083;1;новостройка;84172090820;зарезервирован;29.11.2022
6882;ст. Ясный (Оренб.), ш. Коммунистическое, д. 97 к. 3, 746600;квартира;49;16518012;2;новостройка;8 829 663 46 84;зарезервирован;30.03.2023
6883;к. Кузнецк, пер. Азина, д. 196 к. 56, 190998;квартира;194;11421623;2;новостройка;89 433 049 386;зарезервирован;21.11.2021
6884;к. Корсаков, ш. Железнодорожное, д. 858, 548426;квартира;144;19999837;5;жилое;+7 (414) 210-95-89;сдается;22.02.2021
6885;ст. Кемерово, пер. Чайкиной, д. 966, 895809;дом;23;16994612;3;жилое;8 (285) 818-1386;сдается;22.08.2022
6886;клх Верхний Баскунчак, бул. Рыбацкий, д. 3/7 стр. 497, 726502;дом;182;10811447;4;жилое;85185394371;сдается;10.01.2023
6887;клх Каргополь, бул. Больничный, д. 9/2 к. 22, 819688;земельный участок;42;2552391;2;новостройка;8 005 094 33 46;продается;21.09.2020
6888;п. Нальчик, ш. З.Космодемьянской, д. 41, 398944;земельный участок;56;17749866;1;жилое;+7 291 572 19 12;продается;05.05.2023
6889;к. Баксан, ул. Красина, д. 1/9 стр. 491, 121342;дом;157;15184762;5;жилое;8 263 041 13 78;зарезервирован;07.04.2022
6890;с. Якша, бул. Профсоюзный, д. 9/3 стр. 3/3, 981690;дом;136;18540271;4;жилое;+7 (534) 437-74-04;зарезервирован;03.01.2021
6891;с. Назрань, наб. Пархоменко, д. 502, 831285;дом;39;3594234;2;новостройка;8 (869) 444-90-69;сдается;07.12.2021
6892;г. Тольятти, пер. Коммунистический, д. 373 к. 621, 404536;квартира;169;15664347;4;требует ремонта;8 (645) 741-3211;сдается;23.04.2023
6893;к. Вязьма, ш. Интернациональное, д. 329 к. 3/8, 817684;земельный участок;187;15010085;2;жилое;8 232 099 24 78;сдается;19.07.2022
6894;клх Любань, пр. Юности, д. 103 стр. 1, 261112;квартира;73;16180853;2;требует ремонта;88 044 964 824;продается;31.12.2022
6895;ст. Сибай, бул. Тюленина, д. 1 стр. 523, 216460;квартира;141;19643123;2;жилое;80974109886;зарезервирован;11.02.2023
6896;г. Благовещенск (Амур.), пер. Осипенко, д. 674 стр. 106, 129847;квартира;28;1847696;2;жилое;+7 (114) 417-2482;сдается;28.01.2022
6897;к. Краснодар, бул. Курортный, д. 50 стр. 976, 411029;квартира;83;16121387;5;жилое;82 389 080 221;зарезервирован;31.05.2021
6898;к. Ноглики, пр. Депутатский, д. 864 стр. 7/7, 476125;земельный участок;107;8091826;2;жилое;8 (984) 179-30-23;зарезервирован;06.09.2021
6899;д. Чусовой, пер. Невского, д. 6 стр. 1/4, 123870;земельный участок;89;18661372;4;новостройка;70241747230;зарезервирован;28.01.2022
6900;ст. Адыгейск, наб. Крестьянская, д. 69 к. 4/2, 437853;земельный участок;66;16961014;4;жилое;86093921578;продается;18.05.2021
6901;д. Усть-Баргузин, ул. Дружбы, д. 1 к. 2/3, 738650;земельный участок;114;17169874;4;новостройка;82315637806;продается;31.08.2022
6902;п. Усть-Катав, ш. Кооперативное, д. 19 стр. 2/4, 266645;дом;149;11795666;3;требует ремонта;8 (905) 737-89-61;продается;11.11.2020
6903;г. Кузнецк, ш. Громова, д. 77, 675368;дом;197;3272048;2;жилое;+7 (615) 911-61-70;зарезервирован;18.08.2020
6904;д. Слюдянка, ул. Ветеранов, д. 97, 707218;земельный участок;160;6070638;2;жилое;+7 (509) 416-34-90;сдается;03.10.2021
6905;ст. Соловки, бул. Клары Цеткин, д. 383, 776736;квартира;48;16148073;3;жилое;+7 740 142 60 20;продается;22.03.2021
6906;к. Славянск-на-Кубани, ш. Хуторское, д. 7 к. 9, 159843;квартира;142;6364835;2;жилое;+7 127 061 44 30;зарезервирован;11.05.2023
6907;к. Кирово-Чепецк, ул. Кирпичная, д. 88, 662092;квартира;29;9277336;4;новостройка;+7 (638) 540-47-82;сдается;21.10.2022
6908;г. Пушкинские Горы, наб. Свободная, д. 5 к. 5/1, 368933;квартира;152;11151875;4;новостройка;74 546 422 991;зарезервирован;18.07.2023
6909;ст. Москва, МГУ, пр. Крупской, д. 7, 132543;земельный участок;180;5141293;1;жилое;80079154050;продается;05.04.2023
6910;п. Сарапул, ш. Промышленное, д. 487 стр. 734, 711780;квартира;22;16302591;5;жилое;77237712594;сдается;03.10.2022
6911;с. Урай, наб. Цветочная, д. 4/4 к. 715, 125849;квартира;54;15702363;4;новостройка;85 016 061 315;сдается;31.07.2020
6912;п. Байкальск, наб. Геологическая, д. 3 стр. 951, 673614;квартира;104;9211593;2;новостройка;8 (583) 029-55-71;сдается;16.07.2022
6913;ст. Галич, наб. Приморская, д. 8/3 к. 324, 426321;земельный участок;77;4383549;1;новостройка;+7 (194) 088-6158;зарезервирован;01.04.2022
6914;с. Сальск, ул. Горная, д. 16 стр. 9, 320843;дом;96;15988567;2;новостройка;79 699 286 778;зарезервирован;15.07.2023
6915;п. Вытегра, алл. Целинная, д. 31 стр. 6/1, 317172;квартира;74;6778086;3;новостройка;79992237701;продается;09.03.2022
6916;ст. Бавлы, пер. Васильковый, д. 509 стр. 76, 437444;дом;70;14533295;2;жилое;72610698434;сдается;12.07.2022
6917;с. Рыльск, наб. Путейская, д. 703, 443407;квартира;91;3168077;3;новостройка;8 (371) 030-0319;сдается;04.08.2021
6918;д. Серафимович, наб. Жданова, д. 66 стр. 228, 502867;квартира;163;11686957;2;новостройка;8 582 221 75 24;продается;28.03.2022
6919;клх Гусь-Хрустальный, пер. Ореховый, д. 32 к. 4, 533580;земельный участок;93;17202280;3;новостройка;70201217205;сдается;13.10.2020
6920;к. Саранск, пер. Жуковского, д. 485, 711162;дом;80;12830363;5;новостройка;8 (419) 583-9429;продается;27.03.2021
6921;с. Ишим, пер. Красноармейский, д. 985 стр. 73, 787961;дом;108;13241528;5;требует ремонта;85 705 281 805;зарезервирован;24.12.2020
6922;д. Люберцы, пр. Петровский, д. 237 стр. 5/9, 176462;дом;65;11870273;3;жилое;79438113964;сдается;04.07.2022
6923;с. Александровск-Сахалинский, алл. Целинная, д. 9/5, 613752;квартира;136;5009453;2;жилое;8 (828) 009-4930;зарезервирован;29.09.2020
6924;д. Томпа, алл. Лесозаводская, д. 1 к. 303, 873189;квартира;105;11160370;3;требует ремонта;+7 464 256 79 52;зарезервирован;04.09.2022
6925;д. Белорецк, ул. Курская, д. 7 к. 9/5, 854317;квартира;84;3053794;1;жилое;+7 (229) 202-7139;продается;11.10.2022
6926;п. Абакан, ул. Чапаева, д. 23 стр. 8, 164205;квартира;42;14982237;5;жилое;+7 (419) 486-79-90;сдается;15.08.2022
6927;д. Приморско-Ахтарск, пер. Курортный, д. 8 к. 5, 374309;земельный участок;78;9023634;2;требует ремонта;73 447 652 003;сдается;16.01.2021
6928;клх Шилка, наб. Лазо, д. 8/3, 328530;дом;93;13026458;5;жилое;8 212 479 05 93;зарезервирован;13.11.2020
6929;с. Тобольск, бул. Железнодорожный, д. 9/4, 097463;дом;122;15538330;4;жилое;+7 (732) 883-34-14;сдается;11.10.2021
6930;с. Ахтубинск, ш. Полтавское, д. 43 стр. 78, 704490;земельный участок;189;1347088;3;новостройка;8 (795) 007-02-25;сдается;12.02.2021
6931;клх Палана, бул. Полярный, д. 512 стр. 50, 368973;квартира;81;3353675;3;жилое;+7 (423) 022-83-55;зарезервирован;16.02.2022
6932;с. Соболево, пр. Терешковой, д. 65, 167061;квартира;32;11377372;3;новостройка;+7 (916) 584-22-15;продается;11.10.2021
6933;ст. Славянск-на-Кубани, пер. Ударный, д. 9/2 к. 7, 035342;земельный участок;26;13188157;4;жилое;8 (322) 147-05-63;сдается;07.03.2021
6934;д. Новороссийка, ул. Дачная, д. 7 стр. 1, 885167;земельный участок;102;16470288;2;требует ремонта;8 (030) 834-91-45;продается;06.11.2020
6935;г. Кострома, ш. Горное, д. 29 к. 1/7, 860795;дом;111;5323117;1;требует ремонта;81 643 943 600;зарезервирован;16.08.2022
6936;клх Ярославль, ш. Химиков, д. 936, 442794;квартира;183;10164729;2;жилое;+7 (453) 346-80-98;продается;31.12.2021
6937;к. Карталы, ш. Поперечное, д. 607, 188033;дом;68;1675160;3;жилое;8 838 410 29 12;продается;21.11.2020
6938;п. Королев, пер. Королева, д. 514 стр. 9, 667100;дом;190;11562324;1;новостройка;+7 (313) 698-5984;продается;17.06.2022
6939;д. Петропавловск-Камчатский, ул. Родниковая, д. 3/4, 831260;земельный участок;180;6691230;2;жилое;8 195 588 38 42;продается;07.10.2022
6940;с. Ивдель, пр. Нижний, д. 399, 996030;земельный участок;74;16496485;5;требует ремонта;+7 992 233 59 54;сдается;30.03.2021
6941;к. Кущевская, ул. Кубанская, д. 99, 023713;земельный участок;105;4897879;3;новостройка;+7 (529) 240-6276;сдается;29.09.2021
6942;клх Стерлитамак, ш. Санаторное, д. 6/9 стр. 58, 280165;квартира;67;7277182;3;жилое;+7 (810) 082-96-08;продается;08.07.2023
6943;д. Дербент, ул. Буденного, д. 45 стр. 4/8, 671828;квартира;30;4851222;5;жилое;+7 (806) 355-4503;сдается;06.07.2022
6944;г. Городовиковск, наб. Стахановская, д. 826, 790860;дом;85;12800798;5;требует ремонта;8 180 983 17 49;продается;28.09.2022
6945;д. Кулу, ул. Ручейная, д. 3/3 к. 8, 258626;дом;78;9288847;3;новостройка;77701224663;зарезервирован;25.07.2021
6946;д. Ивдель, пер. Кошевого, д. 3 к. 8/5, 086874;квартира;105;17244633;5;новостройка;72 404 736 097;сдается;28.05.2023
6947;к. Моздок, бул. Сахалинский, д. 864 к. 74, 584686;дом;174;16864659;1;требует ремонта;77 367 750 617;зарезервирован;24.11.2021
6948;ст. Кузнецк, ул. Семашко, д. 7/7 к. 9, 265607;земельный участок;115;9565882;2;требует ремонта;8 (624) 514-64-83;продается;13.07.2023
6949;клх Качканар, наб. Революционная, д. 6 к. 75, 257390;квартира;198;16853176;4;жилое;+7 625 168 70 49;продается;30.01.2021
6950;с. Заводоуковск, ш. Заовражное, д. 496 стр. 381, 022244;дом;129;1879572;3;жилое;+7 (699) 667-14-58;продается;12.08.2020
6951;клх Ростов-на-Дону, алл. Средняя, д. 1/2, 438167;земельный участок;45;4687353;4;требует ремонта;78831824848;сдается;26.01.2021
6952;г. Мелеуз, ш. Подгорное, д. 8/3 стр. 4, 179159;земельный участок;125;3092415;1;жилое;74638499160;сдается;10.08.2020
6953;ст. Лысьва, пер. Короленко, д. 5, 128536;квартира;71;7458388;4;требует ремонта;71182590001;сдается;16.05.2023
6954;г. Магадан, пер. Студенческий, д. 41, 986655;дом;23;3050267;5;жилое;8 (232) 525-9170;продается;26.11.2020
6955;г. Набережные Челны, бул. Шоссейный, д. 8, 158873;квартира;96;2435169;4;жилое;83555806782;продается;18.03.2022
6956;д. Верхний Уфалей, ш. Васильковое, д. 1/7 стр. 931, 070917;квартира;183;16122972;4;новостройка;8 (185) 312-0409;зарезервирован;23.03.2021
6957;клх Калевала, пер. Кедровый, д. 86 стр. 658, 314543;дом;93;11964314;2;требует ремонта;88309424170;зарезервирован;27.03.2022
6958;ст. Быково (метеост.), пер. Калинина, д. 851 к. 42, 643858;земельный участок;160;12956495;1;жилое;+7 158 444 77 65;продается;01.07.2022
6959;к. Урус-Мартан, пр. Киевский, д. 64 к. 7, 737433;земельный участок;113;2746380;3;требует ремонта;8 (003) 656-49-93;продается;26.05.2021
6960;д. Щельяюр, ул. Автомобилистов, д. 6 стр. 3, 280814;квартира;23;15467473;5;жилое;8 (605) 604-7037;продается;23.08.2021
6961;г. Дубна, алл. Докучаева, д. 1 стр. 88, 532807;дом;186;6580001;4;требует ремонта;8 (044) 700-63-28;сдается;23.09.2022
6962;с. Неплюевка, пр. Жданова, д. 9 стр. 2, 748821;квартира;159;6057490;1;новостройка;79146516156;продается;12.06.2022
6963;клх Верхний Тагил, бул. Макарова, д. 6, 445195;земельный участок;41;1375446;3;жилое;87710647011;сдается;11.04.2023
6964;г. Усть-Катав, пер. Геологов, д. 808 стр. 2, 713780;квартира;70;1698109;4;требует ремонта;+7 723 431 24 13;зарезервирован;16.12.2020
6965;с. Калач, наб. Толстого, д. 93, 777690;земельный участок;182;5993039;2;требует ремонта;86 743 128 848;сдается;20.11.2020
6966;г. Минеральные Воды, наб. Щетинкина, д. 4/1, 688136;дом;195;14001775;2;новостройка;76561680428;сдается;04.02.2023
6967;г. Кировск (Мурм.), ул. Волочаевская, д. 9 к. 3/3, 214036;дом;120;4413518;1;жилое;+7 (375) 595-5284;продается;20.12.2022
6968;ст. Усть-Баргузин, ш. Зои Космодемьянской, д. 9 стр. 4/7, 768742;дом;152;12533219;5;новостройка;+7 (066) 990-0035;продается;06.11.2021
6969;к. Орел, бул. Щетинкина, д. 7 к. 711, 221574;квартира;140;4925316;3;новостройка;70457454202;зарезервирован;11.12.2021
6970;д. Салават, пр. Черноморский, д. 780, 483725;дом;171;19549329;4;новостройка;+7 (205) 589-88-68;зарезервирован;16.10.2022
6971;к. Тавда, ул. Проточная, д. 54, 292483;дом;160;6630266;3;новостройка;84165719999;продается;15.05.2023
6972;п. Фатеж, ш. 50 лет Октября, д. 5, 072043;земельный участок;100;13918254;2;требует ремонта;+7 (459) 596-24-47;зарезервирован;12.03.2021
6973;д. Кижи, ул. Портовая, д. 8 к. 99, 844556;дом;173;13518145;1;жилое;72 261 167 272;продается;26.01.2021
6974;п. Сосногорск, пер. Культуры, д. 804 к. 6, 082265;квартира;198;4104780;2;жилое;77108832576;сдается;24.09.2022
6975;с. Владикавказ, ул. Казанская, д. 3/8, 774129;дом;59;18671569;2;требует ремонта;80 969 686 823;продается;07.10.2020
6976;ст. Голицыно, ул. Красноярская, д. 3/7, 626301;дом;95;2117531;5;новостройка;74268873457;продается;19.12.2021
6977;г. Нальчик, ш. Микрорайон, д. 548, 293886;квартира;92;5576965;5;новостройка;79005214070;продается;01.10.2022
6978;с. Костомукша, бул. Тельмана, д. 85 к. 4, 738112;земельный участок;35;9819373;2;жилое;85561298289;сдается;26.07.2021
6979;г. Нижний Новгород, ул. Курская, д. 7, 044793;дом;33;15116362;3;требует ремонта;8 716 895 37 05;продается;18.10.2020
6980;ст. Щелково, пер. Надежды, д. 5, 953742;земельный участок;164;5598739;5;жилое;82 261 629 982;сдается;06.10.2022
6981;к. Асбест, ул. Белинского, д. 9/5 к. 310, 992333;квартира;97;2567542;3;новостройка;8 (688) 679-48-16;зарезервирован;02.08.2020
6982;ст. Ряжск, ш. Шмидта, д. 61, 309613;квартира;96;5914390;1;новостройка;8 368 452 30 20;сдается;14.09.2022
6983;д. Курумкан, пр. Кошевого, д. 6 к. 52, 388042;дом;183;10802910;5;новостройка;8 (665) 177-86-67;сдается;03.02.2023
6984;п. Медногорск, пер. Ивановский, д. 1/9, 292140;земельный участок;102;18711419;2;жилое;73 227 637 649;сдается;16.11.2022
6985;г. Череповец, пер. Маркса, д. 15 стр. 8/7, 575698;земельный участок;88;11029575;1;новостройка;86 518 878 543;продается;16.08.2021
6986;д. Мыс Шмидта, пер. Дорожный, д. 81 стр. 4, 177140;квартира;33;2919327;1;новостройка;82 911 990 283;зарезервирован;09.06.2023
6987;клх Ейск, ш. К.Маркса, д. 799 к. 153, 264861;земельный участок;122;11144928;5;требует ремонта;+7 (891) 131-65-38;сдается;14.05.2022
